s1,s2,s3,s4,s5,N_Observations,P(-1),P(0),P(+1),Direction,Classification_Error,Gini,Cross_Entropy,Confidence
-1,-1,-1,-1,-1,18,0.3333333333333333,0.2777777777777778,0.3888888888888889,0.05555555555555558,0.6111111111111112,0.6604938271604939,1.0893096789558299,0.3888888888888889
0,-1,-1,-1,-1,28,0.25,0.35714285714285715,0.39285714285714285,0.14285714285714285,0.6071428571428572,0.6556122448979592,1.0813448682427136,0.39285714285714285
1,-1,-1,-1,-1,14,0.35714285714285715,0.42857142857142855,0.21428571428571427,-0.14285714285714288,0.5714285714285714,0.6428571428571428,1.060944240790747,0.42857142857142855
-1,0,-1,-1,-1,15,0.4,0.13333333333333333,0.4666666666666667,0.06666666666666665,0.5333333333333333,0.6044444444444445,0.990835386443849,0.4666666666666667
0,0,-1,-1,-1,22,0.45454545454545453,0.18181818181818182,0.36363636363636365,-0.09090909090909088,0.5454545454545454,0.628099173553719,1.0361987848192837,0.45454545454545453
1,0,-1,-1,-1,26,0.46153846153846156,0.3076923076923077,0.23076923076923078,-0.23076923076923078,0.5384615384615384,0.6390532544378699,1.0579054247036734,0.46153846153846156
-1,1,-1,-1,-1,12,0.25,0.4166666666666667,0.3333333333333333,0.08333333333333331,0.5833333333333333,0.6527777777777778,1.0775563270668007,0.4166666666666667
0,1,-1,-1,-1,15,0.26666666666666666,0.4666666666666667,0.26666666666666666,0.0,0.5333333333333333,0.64,1.0606018056124555,0.4666666666666667
1,1,-1,-1,-1,17,0.4117647058823529,0.29411764705882354,0.29411764705882354,-0.11764705882352938,0.5882352941176471,0.657439446366782,1.0852280400722045,0.4117647058823529
-1,-1,0,-1,-1,15,0.26666666666666666,0.3333333333333333,0.4,0.13333333333333336,0.6,0.6577777777777778,1.0851886129676505,0.4
0,-1,0,-1,-1,23,0.2608695652173913,0.4782608695652174,0.2608695652173913,0.0,0.5217391304347826,0.6351606805293005,1.0538437102109437,0.4782608695652174
1,-1,0,-1,-1,10,0.5,0.4,0.1,-0.4,0.5,0.58,0.9433483923290391,0.5
-1,0,0,-1,-1,21,0.23809523809523808,0.47619047619047616,0.2857142857142857,0.047619047619047616,0.5238095238095238,0.6349206349206349,1.052922565938695,0.47619047619047616
0,0,0,-1,-1,36,0.2777777777777778,0.3611111111111111,0.3611111111111111,0.08333333333333331,0.6388888888888888,0.662037037037037,1.091448543346654,0.3611111111111111
1,0,0,-1,-1,17,0.4117647058823529,0.47058823529411764,0.11764705882352941,-0.2941176470588235,0.5294117647058824,0.5951557093425606,0.9718487712358765,0.47058823529411764
-1,1,0,-1,-1,18,0.5,0.2777777777777778,0.2222222222222222,-0.2777777777777778,0.5,0.6234567901234568,1.0366279688586069,0.5
0,1,0,-1,-1,21,0.47619047619047616,0.3333333333333333,0.19047619047619047,-0.2857142857142857,0.5238095238095238,0.6258503401360545,1.0353605606849843,0.47619047619047616
1,1,0,-1,-1,16,0.4375,0.375,0.1875,-0.25,0.5625,0.6328125,1.0433534269422904,0.4375
-1,-1,1,-1,-1,12,0.3333333333333333,0.25,0.4166666666666667,0.08333333333333337,0.5833333333333333,0.6527777777777777,1.0775563270668007,0.4166666666666667
0,-1,1,-1,-1,23,0.21739130434782608,0.43478260869565216,0.34782608695652173,0.13043478260869565,0.5652173913043479,0.6427221172022685,1.061208440905252,0.43478260869565216
1,-1,1,-1,-1,15,0.2,0.4,0.4,0.2,0.6,0.64,1.0549201679861442,0.4
-1,0,1,-1,-1,15,0.2,0.5333333333333333,0.26666666666666666,0.06666666666666665,0.4666666666666667,0.6044444444444445,1.009613758174038,0.5333333333333333
0,0,1,-1,-1,21,0.23809523809523808,0.19047619047619047,0.5714285714285714,0.3333333333333333,0.4285714285714286,0.5804988662131518,0.9773202089564674,0.5714285714285714
1,0,1,-1,-1,17,0.4117647058823529,0.29411764705882354,0.29411764705882354,-0.11764705882352938,0.5882352941176471,0.657439446366782,1.0852280400722045,0.4117647058823529
-1,1,1,-1,-1,23,0.2608695652173913,0.2608695652173913,0.4782608695652174,0.2173913043478261,0.5217391304347826,0.6351606805293005,1.053843710210944,0.4782608695652174
0,1,1,-1,-1,25,0.28,0.52,0.2,-0.08000000000000002,0.48,0.6112,1.018359734765894,0.52
1,1,1,-1,-1,13,0.3076923076923077,0.46153846153846156,0.23076923076923078,-0.07692307692307693,0.5384615384615384,0.6390532544378699,1.0579054247036734,0.46153846153846156
-1,-1,-1,0,-1,13,0.23076923076923078,0.38461538461538464,0.38461538461538464,0.15384615384615385,0.6153846153846154,0.650887573964497,1.0733942812811266,0.38461538461538464
0,-1,-1,0,-1,17,0.35294117647058826,0.47058823529411764,0.17647058823529413,-0.17647058823529413,0.5294117647058824,0.6228373702422145,1.0283941667143721,0.47058823529411764
1,-1,-1,0,-1,16,0.375,0.3125,0.3125,-0.0625,0.625,0.6640625,1.094780226007948,0.375
-1,0,-1,0,-1,23,0.391304347826087,0.43478260869565216,0.17391304347826086,-0.2173913043478261,0.5652173913043479,0.6275992438563327,1.0334920606923674,0.43478260869565216
0,0,-1,0,-1,28,0.17857142857142858,0.5357142857142857,0.2857142857142857,0.10714285714285712,0.4642857142857143,0.5994897959183674,0.9999375490272633,0.5357142857142857
1,0,-1,0,-1,26,0.34615384615384615,0.2692307692307692,0.38461538461538464,0.03846153846153849,0.6153846153846154,0.6597633136094675,1.088010262277112,0.38461538461538464
-1,1,-1,0,-1,27,0.14814814814814814,0.37037037037037035,0.48148148148148145,0.3333333333333333,0.5185185185185186,0.6090534979423868,1.002675013359144,0.48148148148148145
0,1,-1,0,-1,17,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.0,0.5882352941176471,0.657439446366782,1.0852280400722045,0.4117647058823529
1,1,-1,0,-1,14,0.07142857142857142,0.7142857142857143,0.21428571428571427,0.14285714285714285,0.2857142857142857,0.4387755102040817,0.7589367727620596,0.7142857142857143
-1,-1,0,0,-1,25,0.16,0.52,0.32,0.16,0.48,0.6016,0.9978737678714718,0.52
0,-1,0,0,-1,33,0.21212121212121213,0.36363636363636365,0.42424242424242425,0.21212121212121213,0.5757575757575757,0.642791551882461,1.0605362446344555,0.42424242424242425
1,-1,0,0,-1,25,0.4,0.28,0.32,-0.08000000000000002,0.6,0.6592,1.0875656525975472,0.4
-1,0,0,0,-1,39,0.28205128205128205,0.3333333333333333,0.38461538461538464,0.10256410256410259,0.6153846153846154,0.6614069690992768,1.0906913214036156,0.38461538461538464
0,0,0,0,-1,54,0.3148148148148148,0.35185185185185186,0.3333333333333333,0.01851851851851849,0.6481481481481481,0.6659807956104252,1.0975829522078113,0.35185185185185186
1,0,0,0,-1,39,0.20512820512820512,0.41025641025641024,0.38461538461538464,0.17948717948717952,0.5897435897435898,0.6416831032215647,1.0579794690576378,0.41025641025641024
-1,1,0,0,-1,25,0.24,0.32,0.44,0.2,0.56,0.6464000000000001,1.0683583388846372,0.44
0,1,0,0,-1,26,0.23076923076923078,0.5,0.2692307692307692,0.038461538461538436,0.5,0.6242603550295858,1.0382400185693474,0.5
1,1,0,0,-1,15,0.3333333333333333,0.26666666666666666,0.4,0.06666666666666671,0.6,0.6577777777777778,1.0851886129676505,0.4
-1,-1,1,0,-1,20,0.2,0.4,0.4,0.2,0.6,0.64,1.0549201679861442,0.4
0,-1,1,0,-1,27,0.2962962962962963,0.3333333333333333,0.37037037037037035,0.07407407407407407,0.6296296296296297,0.663923182441701,1.0944885526930284,0.37037037037037035
1,-1,1,0,-1,20,0.3,0.4,0.3,0.0,0.6,0.6599999999999999,1.0888999753452238,0.4
-1,0,1,0,-1,26,0.3076923076923077,0.4230769230769231,0.2692307692307692,-0.03846153846153849,0.5769230769230769,0.6538461538461537,1.0798753311904068,0.4230769230769231
0,0,1,0,-1,41,0.24390243902439024,0.43902439024390244,0.3170731707317073,0.07317073170731708,0.5609756097560976,0.6472337894110648,1.0697456223367126,0.43902439024390244
1,0,1,0,-1,15,0.2,0.6,0.2,0.0,0.4,0.56,0.9502705392332347,0.6
-1,1,1,0,-1,16,0.3125,0.375,0.3125,0.0,0.625,0.6640625,1.094780226007948,0.375
0,1,1,0,-1,26,0.2692307692307692,0.38461538461538464,0.34615384615384615,0.07692307692307693,0.6153846153846154,0.6597633136094675,1.088010262277112,0.38461538461538464
1,1,1,0,-1,20,0.2,0.5,0.3,0.09999999999999998,0.5,0.62,1.0296530140645737,0.5
-1,-1,-1,1,-1,16,0.25,0.5,0.25,0.0,0.5,0.625,1.0397207708399179,0.5
0,-1,-1,1,-1,15,0.4,0.3333333333333333,0.26666666666666666,-0.13333333333333336,0.6,0.6577777777777778,1.0851886129676505,0.4
1,-1,-1,1,-1,18,0.1111111111111111,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.5679012345679012,0.9368883075390159,0.5555555555555556
-1,0,-1,1,-1,18,0.3333333333333333,0.4444444444444444,0.2222222222222222,-0.1111111111111111,0.5555555555555556,0.6419753086419753,1.0608569471580214,0.4444444444444444
0,0,-1,1,-1,32,0.21875,0.34375,0.4375,0.21875,0.5625,0.642578125,1.0612039759627612,0.4375
1,0,-1,1,-1,26,0.38461538461538464,0.5384615384615384,0.07692307692307693,-0.3076923076923077,0.46153846153846156,0.5562130177514794,0.8981370031878679,0.5384615384615384
-1,1,-1,1,-1,19,0.21052631578947367,0.5789473684210527,0.21052631578947367,0.0,0.42105263157894735,0.5761772853185595,0.9724809323379562,0.5789473684210527
0,1,-1,1,-1,16,0.1875,0.4375,0.375,0.1875,0.5625,0.6328125,1.0433534269422906,0.4375
1,1,-1,1,-1,17,0.47058823529411764,0.29411764705882354,0.23529411764705882,-0.23529411764705882,0.5294117647058824,0.6366782006920415,1.0551016181686423,0.47058823529411764
-1,-1,0,1,-1,25,0.16,0.56,0.28,0.12000000000000002,0.43999999999999995,0.5824,0.9743417807689857,0.56
0,-1,0,1,-1,17,0.23529411764705882,0.47058823529411764,0.29411764705882354,0.05882352941176472,0.5294117647058824,0.6366782006920415,1.0551016181686426,0.47058823529411764
1,-1,0,1,-1,21,0.3333333333333333,0.42857142857142855,0.23809523809523808,-0.09523809523809523,0.5714285714285714,0.6485260770975056,1.071018542409915,0.42857142857142855
-1,0,0,1,-1,23,0.43478260869565216,0.43478260869565216,0.13043478260869565,-0.30434782608695654,0.5652173913043479,0.6049149338374291,0.9899490539341391,0.43478260869565216
0,0,0,1,-1,30,0.16666666666666666,0.4666666666666667,0.36666666666666664,0.19999999999999998,0.5333333333333333,0.62,1.0221693757432821,0.4666666666666667
1,0,0,1,-1,18,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.5555555555555556,0.6419753086419753,1.0608569471580214,0.4444444444444444
-1,1,0,1,-1,15,0.13333333333333333,0.4666666666666667,0.4,0.2666666666666667,0.5333333333333333,0.6044444444444445,0.9908353864438492,0.4666666666666667
0,1,0,1,-1,24,0.25,0.4583333333333333,0.2916666666666667,0.041666666666666685,0.5416666666666667,0.6423611111111112,1.0635215028672123,0.4583333333333333
1,1,0,1,-1,17,0.5294117647058824,0.23529411764705882,0.23529411764705882,-0.29411764705882354,0.47058823529411764,0.6089965397923875,1.017602986115916,0.5294117647058824
-1,-1,1,1,-1,15,0.5333333333333333,0.2,0.26666666666666666,-0.26666666666666666,0.4666666666666667,0.6044444444444445,1.009613758174038,0.5333333333333333
0,-1,1,1,-1,25,0.36,0.36,0.28,-0.07999999999999996,0.64,0.6624,1.0920192874506351,0.36
1,-1,1,1,-1,21,0.2857142857142857,0.3333333333333333,0.38095238095238093,0.09523809523809523,0.6190476190476191,0.6621315192743764,1.0917862380951273,0.38095238095238093
-1,0,1,1,-1,23,0.5217391304347826,0.17391304347826086,0.30434782608695654,-0.21739130434782605,0.4782608695652174,0.6049149338374291,1.005692986132508,0.5217391304347826
0,0,1,1,-1,29,0.27586206896551724,0.3793103448275862,0.3448275862068966,0.06896551724137934,0.6206896551724138,0.6611177170035671,1.0901154415671217,0.3793103448275862
1,0,1,1,-1,22,0.22727272727272727,0.3181818181818182,0.45454545454545453,0.22727272727272727,0.5454545454545454,0.640495867768595,1.0594782926538544,0.45454545454545453
-1,1,1,1,-1,13,0.38461538461538464,0.3076923076923077,0.3076923076923077,-0.07692307692307693,0.6153846153846154,0.6627218934911243,1.0928305535284886,0.38461538461538464
0,1,1,1,-1,25,0.28,0.4,0.32,0.03999999999999998,0.6,0.6592,1.0875656525975472,0.4
1,1,1,1,-1,7,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.6122448979591836,1.0042424730540764,0.42857142857142855
-1,-1,-1,-1,0,21,0.23809523809523808,0.47619047619047616,0.2857142857142857,0.047619047619047616,0.5238095238095238,0.6349206349206349,1.052922565938695,0.47619047619047616
0,-1,-1,-1,0,14,0.07142857142857142,0.2857142857142857,0.6428571428571429,0.5714285714285715,0.3571428571428571,0.5,0.8304717124362917,0.6428571428571429
1,-1,-1,-1,0,17,0.4117647058823529,0.29411764705882354,0.29411764705882354,-0.11764705882352938,0.5882352941176471,0.657439446366782,1.0852280400722045,0.4117647058823529
-1,0,-1,-1,0,20,0.25,0.45,0.3,0.04999999999999999,0.55,0.645,1.0670938948757507,0.45
0,0,-1,-1,0,31,0.2903225806451613,0.4838709677419355,0.22580645161290322,-0.06451612903225809,0.5161290322580645,0.6305931321540063,1.046337357519136,0.4838709677419355
1,0,-1,-1,0,18,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.6111111111111112,1.0114042647073518,0.5
-1,1,-1,-1,0,19,0.21052631578947367,0.5789473684210527,0.21052631578947367,0.0,0.42105263157894735,0.5761772853185595,0.9724809323379562,0.5789473684210527
0,1,-1,-1,0,17,0.058823529411764705,0.5294117647058824,0.4117647058823529,0.3529411764705882,0.47058823529411764,0.546712802768166,0.868719682914265,0.5294117647058824
1,1,-1,-1,0,25,0.44,0.32,0.24,-0.2,0.56,0.6464000000000001,1.068358338884637,0.44
-1,-1,0,-1,0,18,0.16666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.5,0.6111111111111112,1.0114042647073518,0.5
0,-1,0,-1,0,32,0.34375,0.40625,0.25,-0.09375,0.59375,0.654296875,1.0795883408865785,0.40625
1,-1,0,-1,0,27,0.3333333333333333,0.4444444444444444,0.2222222222222222,-0.1111111111111111,0.5555555555555556,0.6419753086419753,1.0608569471580214,0.4444444444444444
-1,0,0,-1,0,32,0.1875,0.5625,0.25,0.0625,0.4375,0.5859375,0.9840865030829147,0.5625
0,0,0,-1,0,48,0.2916666666666667,0.5208333333333334,0.1875,-0.10416666666666669,0.47916666666666663,0.6085069444444444,1.0129985227340448,0.5208333333333334
1,0,0,-1,0,25,0.32,0.44,0.24,-0.08000000000000002,0.56,0.6464000000000001,1.068358338884637,0.44
-1,1,0,-1,0,25,0.36,0.28,0.36,0.0,0.64,0.6624,1.0920192874506351,0.36
0,1,0,-1,0,38,0.2894736842105263,0.42105263157894735,0.2894736842105263,0.0,0.5789473684210527,0.6551246537396122,1.081925224005316,0.42105263157894735
1,1,0,-1,0,26,0.23076923076923078,0.34615384615384615,0.4230769230769231,0.1923076923076923,0.5769230769230769,0.6479289940828402,1.0695416913993134,0.4230769230769231
-1,-1,1,-1,0,23,0.391304347826087,0.30434782608695654,0.30434782608695654,-0.08695652173913043,0.6086956521739131,0.6616257088846881,1.0912436384160904,0.391304347826087
0,-1,1,-1,0,33,0.42424242424242425,0.36363636363636365,0.21212121212121213,-0.21212121212121213,0.5757575757575757,0.642791551882461,1.0605362446344555,0.42424242424242425
1,-1,1,-1,0,23,0.17391304347826086,0.43478260869565216,0.391304347826087,0.2173913043478261,0.5652173913043479,0.6275992438563327,1.0334920606923674,0.43478260869565216
-1,0,1,-1,0,31,0.12903225806451613,0.41935483870967744,0.45161290322580644,0.3225806451612903,0.5483870967741935,0.603537981269511,0.9876542462240765,0.45161290322580644
0,0,1,-1,0,28,0.21428571428571427,0.39285714285714285,0.39285714285714285,0.17857142857142858,0.6071428571428572,0.6454081632653061,1.064195480999044,0.39285714285714285
1,0,1,-1,0,22,0.3181818181818182,0.4090909090909091,0.2727272727272727,-0.04545454545454547,0.5909090909090908,0.6570247933884298,1.0843629508682477,0.4090909090909091
-1,1,1,-1,0,19,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.15789473684210525,0.5789473684210527,0.6537396121883656,1.0795295733255184,0.42105263157894735
0,1,1,-1,0,21,0.23809523809523808,0.23809523809523808,0.5238095238095238,0.28571428571428575,0.47619047619047616,0.6122448979591836,1.0220830508128,0.5238095238095238
1,1,1,-1,0,17,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.1764705882352941,0.5882352941176471,0.6505190311418685,1.073383620336505,0.4117647058823529
-1,-1,-1,0,0,19,0.21052631578947367,0.5789473684210527,0.21052631578947367,0.0,0.42105263157894735,0.5761772853185595,0.9724809323379562,0.5789473684210527
0,-1,-1,0,0,33,0.36363636363636365,0.5151515151515151,0.12121212121212122,-0.24242424242424243,0.48484848484848486,0.5876951331496786,0.9653353162879579,0.5151515151515151
1,-1,-1,0,0,28,0.32142857142857145,0.32142857142857145,0.35714285714285715,0.0357142857142857,0.6428571428571428,0.6658163265306123,1.0973511772469036,0.35714285714285715
-1,0,-1,0,0,34,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.1764705882352941,0.5882352941176471,0.6505190311418685,1.073383620336505,0.4117647058823529
0,0,-1,0,0,54,0.2777777777777778,0.3888888888888889,0.3333333333333333,0.055555555555555525,0.6111111111111112,0.6604938271604939,1.0893096789558299,0.3888888888888889
1,0,-1,0,0,32,0.3125,0.375,0.3125,0.0,0.625,0.6640625,1.094780226007948,0.375
-1,1,-1,0,0,29,0.4482758620689655,0.27586206896551724,0.27586206896551724,-0.1724137931034483,0.5517241379310345,0.6468489892984541,1.0702128536458757,0.4482758620689655
0,1,-1,0,0,33,0.30303030303030304,0.45454545454545453,0.24242424242424243,-0.06060606060606061,0.5454545454545454,0.642791551882461,1.0637155529842897,0.45454545454545453
1,1,-1,0,0,17,0.11764705882352941,0.5882352941176471,0.29411764705882354,0.17647058823529413,0.4117647058823529,0.5536332179930795,0.923840705630872,0.5882352941176471
-1,-1,0,0,0,37,0.2972972972972973,0.43243243243243246,0.2702702702702703,-0.02702702702702703,0.5675675675675675,0.6515704894083272,1.076752548142629,0.43243243243243246
0,-1,0,0,0,45,0.37777777777777777,0.26666666666666666,0.35555555555555557,-0.0222222222222222,0.6222222222222222,0.659753086419753,1.0878863519425825,0.37777777777777777
1,-1,0,0,0,33,0.3333333333333333,0.3939393939393939,0.2727272727272727,-0.06060606060606061,0.6060606060606061,0.6593204775022957,1.0875314752904792,0.3939393939393939
